id,platform,repo_name,region
29917331,gitee,wanghongenpin/proxypin,
20059631,gitee,anolis/sysom,China
34062392,gitee,openeuler/secureguardian,China
37732499,gitee,openeuler/pkgs-categorizer,China
29144952,gitee,openharmony/drivers_external_device_manager,China
25105851,gitee,openharmony-sig/ohos_pull_to_refresh,China
33862714,gitee,openharmony-sig/ohos_apng,China
5585612,gitee,wfchat/ios-chat,
8293896,gitee,src-openeuler/resource-agents,China
19572059,gitee,xueyitiantang/XueYi-MultiSaas,
24775430,gitee,openkylin/kylin-connectivity,China
8969292,gitee,openeuler/compass-ci,China
17654772,gitee,izory/ZrAdminNetCore,
27520757,gitee,anolis/hygon-devkit,China
26197996,gitee,src-openeuler/gala-anteater,China
8259561,gitee,LongbowEnterprise/BootstrapBlazor,
20394529,gitee,sdyunze/iotlink,
31440221,gitee,secretflow/secretpad,China
121075,gitee,fasiondog/hikyuu,
20176672,gitee,openharmony/third_party_libexif,China
22428928,gitee,openkylin/kylin-nm,China
22122072,gitee,openharmony-sig/mars,China
23095943,gitee,openharmony_infra/feedback,
5585838,gitee,wfchat/im-server,
29870328,gitee,openInula/inula,China
7913501,gitee,src-openeuler/openjdk-1.8.0,China
29498928,gitee,GreatSQL/GreatSQL-Manual,China
16184950,gitee,openharmony/update_update_service,China
21442449,gitee,openharmony-tpc/retrofit,
33497126,gitee,OpenCloudOS/xuanwan,
23592098,gitee,opengauss/openGauss-tools-datachecker-performance,China
7592671,gitee,src-openeuler/cscope,China
23335270,gitee,dromara/neutrino-proxy,
4620145,gitee,conero/uymas,
11625102,gitee,src-openeuler/stratovirt,China
6960371,gitee,src-openeuler/unbound,China
2113248,gitee,makunet/maku-boot,
14557095,gitee,openharmony/arkui_ui_lite,China
27822179,gitee,linebyte/crabc,
21484745,gitee,openeuler/hpcrunner,China
18430508,gitee,openeuler/secpaver,China
15811230,gitee,fudiwei/DotNetCore.SKIT.FlurlHttpClient.Wechat,
13195690,gitee,huoyo/ko-time,
23285740,gitee,beikeshop/beikeshop,
24062007,gitee,wa-lang/wa,
7642569,gitee,opengauss/community,China
19617200,gitee,raoyutian/PaddleOCRSharp,
28131268,gitee,blackfox/geekai,
4354463,gitee,erzhongxmu/JEEWMS,
9108731,gitee,src-openeuler/openjdk-11,China
17419131,gitee,openeuler/rubik,China
4478269,gitee,erupt/erupt,
6133924,gitee,joolun/JooLun-wx,
6960238,gitee,src-openeuler/python-lxml,China
22429395,gitee,openkylin/ukui-power-manager,China
11218562,gitee,openharmony/testfwk_xdevice,China
6100503,gitee,tinylab/linux-lab,
