id,platform,repo_name,company
16290488,gitee,opengauss/openGauss-tools-chameleon,Huawei
27654562,gitee,openeuler/rust_shyper,Huawei
38539229,gitee,openeuler/epkg,Huawei
24469269,gitee,ubml/metadata-service-dev,
17534771,gitee,openharmony/vendor_hihope,Huawei
18111428,gitee,openblock/openblock,
22344709,gitee,opengauss/debezium,Huawei
8097528,gitee,src-openeuler/firefox,Huawei
29330103,gitee,openharmony/applications_calendar_data,Huawei
22428740,gitee,openkylin/ukui-screensaver,openKylin
7515598,gitee,guerlab_net/guerlab-cloud,
22891965,gitee,iconLake/IconLake,
20385368,gitee,dromara/dynamic-tp,
30658043,gitee,src-openeuler/migration-tools,Huawei
30618668,gitee,openeuler/hotpatch_meta,Huawei
28064831,gitee,neat-logic/neatlogic-itom-all,
6960273,gitee,src-openeuler/rdma-core,Huawei
6959641,gitee,src-openeuler/grub2,Huawei
28444950,gitee,openharmony/bundlemanager_bundle_tool,Huawei
5779901,gitee,gitee-community/bullshit-codes,
19173048,gitee,anolis/sysak,Alibaba
23454850,gitee,src-openeuler/eagle,Huawei
23443173,gitee,openkylin/kylin-video,openKylin
19683670,gitee,season-fan/autometer-api,
15011930,gitee,openeuler/rockchip,Huawei
19833112,gitee,thinkgem/jeesite-vue,
8651545,gitee,mindspore/mindarmour,Huawei
27285633,gitee,xiaonuoadmin/snowy-mobile,
6465048,gitee,ulthon/ulthon_admin,
29546851,gitee,openeuler/utshell,Huawei
6959483,gitee,src-openeuler/cloud-init,Huawei
29648597,gitee,openharmony/third_party_cups,Huawei
11233706,gitee,src-openeuler/rubygem-simplecov-html,Huawei
25286911,gitee,src-openeuler/aops-hermes,Huawei
22908739,gitee,openkylin/qtwayland-opensource-src,openKylin
26715758,gitee,ThingsGateway/ThingsGateway,
6959604,gitee,src-openeuler/ghostscript,Huawei
11918338,gitee,dromara/northstar,
18129760,gitee,guyangyang/vue-amap,
6959713,gitee,src-openeuler/krb5,Huawei
18345391,gitee,openeuler/oecp,Huawei
21234250,gitee,openharmony/distributedhardware_distributed_screen,Huawei
20074045,gitee,openharmony/theme_screenlock_mgr,Huawei
3845824,gitee,xany/yoshop2.0,
27284689,gitee,neat-logic/neatlogic-cmdb,
23093659,gitee,openkylin/kylin-os-installer,openKylin
35781638,gitee,openeuler/kail_dnn_adapter,Huawei
20130378,gitee,openharmony/security_device_security_level,Huawei
26233447,gitee,src-openeuler/syscare,Huawei
20758596,gitee,IsYourGod/mkrtos-real,
8903595,gitee,openeuler/ha-api,Huawei
7158663,gitee,dbkangaroo/kangaroo,
7704909,gitee,src-openeuler/vim,Huawei
37966849,gitee,src-openeuler/calamares,Huawei
8194132,gitee,hgflydream/Gardener,
6960295,gitee,src-openeuler/selinux-policy,Huawei
24342602,gitee,src-openeuler/dpu-utilities,Huawei
29917331,gitee,wanghongenpin/proxypin,
20059631,gitee,anolis/sysom,Alibaba
34062392,gitee,openeuler/secureguardian,Huawei
37732499,gitee,openeuler/pkgs-categorizer,Huawei
